"","female","married","hhsize","books_age10","maths_age10","language_age10","EduYears","eurod","country_mod","iv009_mod","inc_bin","co007_","co007_mod","country250","country276","country380","country528","country724"
"106772",0,1,2,2,3,3,-0.12,2,276,4,"second","2","1",0,1,0,0,0
"106775",1,1,2,2,3,3,-0.12,2,276,4,"second","2","1",0,1,0,0,0
"106778",0,1,2,2,1,1,0.44,0,276,5,"fourth","4","2",0,1,0,0,0
"106782",0,1,2,1,4,4,-0.12,6,276,4,"fourth","2","1",0,1,0,0,0
"106789",1,1,2,3,3,3,0.2,2,276,4,"third","4","2",0,1,0,0,0
"106801",1,1,2,3,3,3,-0.12,2,276,4,"fourth","4","2",0,1,0,0,0
"106805",0,1,2,2,3,3,-0.04,2,276,4,"first","3","2",0,1,0,0,0
"106807",1,1,2,2,2,1,0.36,3,276,4,"first","3","2",0,1,0,0,0
"106811",0,1,2,3,3,4,-0.68,0,276,4,"second","2","1",0,1,0,0,0
"106818",1,0,1,3,2,2,-0.12,4,276,5,"first","4","2",0,1,0,0,0
"106819",0,1,2,4,3,2,0.12,0,276,1,"fourth","4","2",0,1,0,0,0
"106821",1,1,2,4,3,3,0.04,0,276,1,"fourth","4","2",0,1,0,0,0
"106824",0,1,2,1,3,3,-0.76,1,276,5,"fourth","3","2",0,1,0,0,0
"106833",1,0,3,1,4,3,-0.2,0,276,4,"first","2","1",0,1,0,0,0
"106840",0,1,2,3,3,3,0.04,2,276,4,"first","4","2",0,1,0,0,0
"106855",0,0,1,1,3,4,-0.12,0,276,2,"second","3","2",0,1,0,0,0
"106874",0,0,1,3,3,2,-0.12,2,276,4,"second","3","2",0,1,0,0,0
"106883",1,1,2,2,3,2,-0.12,4,276,3,"fourth","4","2",0,1,0,0,0
"106884",0,1,2,2,2,4,-0.12,1,276,3,"fourth","4","2",0,1,0,0,0
"106885",1,1,2,1,1,2,-0.12,0,276,2,"fourth","4","2",0,1,0,0,0
"106915",0,1,2,1,3,2,0.12,2,276,5,"fourth","3","2",0,1,0,0,0
"106932",1,1,2,4,3,4,-0.2,3,276,4,"fourth","4","2",0,1,0,0,0
"106950",0,1,2,4,3,2,-0.04,0,276,2,"fourth","2","1",0,1,0,0,0
"106959",0,1,2,1,2,2,0.44,0,276,1,"fourth","4","2",0,1,0,0,0
"106975",1,0,1,2,2,3,0.04,4,276,1,"first","3","2",0,1,0,0,0
"106986",1,1,2,4,2,2,0.04,1,276,1,"fourth","4","2",0,1,0,0,0
"106989",0,1,2,3,3,2,0.84,2,276,1,"fourth","4","2",0,1,0,0,0
"106991",0,1,2,2,3,3,-0.04,1,276,5,"third","3","2",0,1,0,0,0
"106992",1,1,2,4,3,3,-0.04,3,276,5,"third","3","2",0,1,0,0,0
"107014",0,1,3,2,2,2,0.28,0,276,2,"fourth","4","2",0,1,0,0,0
"107018",1,1,3,2,3,3,0.12,0,276,2,"fourth","4","2",0,1,0,0,0
"107022",1,0,1,1,3,3,-0.36,3,276,4,"first","2","1",0,1,0,0,0
"107028",0,1,2,1,3,2,-0.2,1,276,5,"second","4","2",0,1,0,0,0
"107033",0,1,2,2,3,3,-0.12,4,276,5,"third","2","1",0,1,0,0,0
"107034",1,1,2,2,3,3,-0.12,4,276,5,"third","2","1",0,1,0,0,0
"107059",0,1,2,1,3,3,0.04,2,276,4,"second","3","2",0,1,0,0,0
"107063",1,1,2,2,3,3,-0.12,4,276,4,"second","3","2",0,1,0,0,0
"107071",0,1,2,2,2,3,0.2,1,276,2,"third","3","2",0,1,0,0,0
"107074",1,1,2,3,3,2,-0.04,1,276,2,"third","3","2",0,1,0,0,0
"107094",0,0,1,3,3,3,0.04,0,276,1,"fourth","4","2",0,1,0,0,0
"107125",0,1,2,2,2,2,0.36,2,276,4,"fourth","4","2",0,1,0,0,0
"107126",1,1,2,1,1,1,-0.52,6,276,4,"fourth","4","2",0,1,0,0,0
"107148",0,1,2,4,5,4,0.76,1,276,5,"fourth","4","2",0,1,0,0,0
"107152",1,1,2,3,3,2,0.68,3,276,5,"fourth","4","2",0,1,0,0,0
"107156",1,1,3,3,2,2,-0.12,3,276,5,"fourth","3","2",0,1,0,0,0
"107164",0,1,3,2,3,3,-0.12,4,276,4,"second","3","2",0,1,0,0,0
"107168",1,1,3,2,3,3,-0.12,2,276,4,"second","3","2",0,1,0,0,0
"107180",0,1,2,1,5,4,-0.12,3,276,5,"third","4","2",0,1,0,0,0
"107181",1,1,2,2,2,3,-0.12,2,276,5,"third","4","2",0,1,0,0,0
"107194",0,1,2,3,2,3,0.28,0,276,1,"third","4","2",0,1,0,0,0
"107206",1,1,2,2,4,3,0.04,1,276,1,"third","4","2",0,1,0,0,0
"107210",0,1,2,2,4,3,0.2,1,276,1,"third","4","2",0,1,0,0,0
"107214",1,1,2,2,2,3,-0.12,7,276,1,"third","4","2",0,1,0,0,0
"107216",0,1,2,2,2,3,-0.2,3,276,1,"third","4","2",0,1,0,0,0
"107224",0,1,2,1,4,4,-0.12,7,276,5,"second","3","2",0,1,0,0,0
"107238",0,1,2,2,3,4,-0.12,5,276,4,"fourth","4","2",0,1,0,0,0
"107263",1,1,2,2,3,3,-0.12,2,276,5,"fourth","4","2",0,1,0,0,0
"107267",0,1,2,2,3,3,-0.04,0,276,5,"third","3","2",0,1,0,0,0
"107276",1,1,2,1,3,4,-0.44,2,276,4,"third","4","2",0,1,0,0,0
"107279",0,1,2,1,2,2,-0.36,2,276,4,"third","4","2",0,1,0,0,0
"107285",0,1,2,4,3,3,0.12,3,276,4,"fourth","4","2",0,1,0,0,0
"107335",0,1,2,1,3,3,-0.12,4,276,5,"fourth","4","2",0,1,0,0,0
"107343",1,1,2,2,3,3,-0.12,5,276,5,"fourth","4","2",0,1,0,0,0
"107344",0,1,2,2,2,3,-0.04,2,276,5,"fourth","3","2",0,1,0,0,0
"107361",1,1,2,2,3,3,-0.12,5,276,5,"second","4","2",0,1,0,0,0
"107364",0,1,2,1,1,2,-0.04,6,276,5,"second","4","2",0,1,0,0,0
"107371",1,1,2,1,3,3,-0.36,5,276,5,"second","2","1",0,1,0,0,0
"107375",0,1,2,1,3,3,-0.12,3,276,5,"second","2","1",0,1,0,0,0
"107381",0,1,2,3,1,2,0.28,0,276,4,"fourth","3","2",0,1,0,0,0
"107389",1,1,2,2,2,2,-0.84,5,276,4,"third","2","1",0,1,0,0,0
"107394",1,1,2,1,4,3,-0.36,3,276,5,"second","2","1",0,1,0,0,0
"107397",0,1,2,1,4,4,-0.36,1,276,5,"second","2","1",0,1,0,0,0
"107407",1,1,2,5,2,2,0.52,5,276,5,"fourth","3","2",0,1,0,0,0
"107411",0,1,2,2,2,3,0.52,5,276,5,"fourth","3","2",0,1,0,0,0
"107453",1,0,1,1,3,2,-0.36,4,276,5,"second","4","2",0,1,0,0,0
"107460",0,0,1,1,2,2,-0.36,4,276,5,"first","2","1",0,1,0,0,0
"107463",1,0,1,1,2,2,0.12,3,276,4,"second","2","1",0,1,0,0,0
"107472",0,1,2,5,2,2,0.04,0,276,5,"third","3","2",0,1,0,0,0
"107473",1,1,2,4,2,2,0.04,0,276,5,"third","3","2",0,1,0,0,0
"107579",0,1,2,1,4,3,-0.68,0,276,3,"third","3","2",0,1,0,0,0
"107609",0,1,3,4,2,3,0.28,1,276,4,"third","4","2",0,1,0,0,0
"107616",1,1,2,2,3,3,-0.6,0,276,2,"third","4","2",0,1,0,0,0
"107620",0,1,2,1,3,1,-0.52,0,276,2,"third","4","2",0,1,0,0,0
"107626",1,0,2,1,3,3,-0.12,3,276,1,"fourth","3","2",0,1,0,0,0
"107649",1,0,1,3,2,2,0.04,5,276,5,"second","2","1",0,1,0,0,0
"107654",0,1,2,1,2,2,-0.04,1,276,2,"third","4","2",0,1,0,0,0
"107688",1,1,2,2,3,2,-0.04,1,276,4,"fourth","4","2",0,1,0,0,0
"107702",0,1,2,1,3,4,0.12,3,276,5,"third","3","2",0,1,0,0,0
"107706",1,1,2,3,1,2,-0.2,1,276,5,"third","3","2",0,1,0,0,0
"107760",0,1,2,1,4,3,-0.04,1,276,4,"third","4","2",0,1,0,0,0
"107771",0,1,2,3,3,3,0.04,2,276,5,"fourth","2","1",0,1,0,0,0
"107793",0,1,2,2,3,3,-0.12,1,276,2,"fourth","4","2",0,1,0,0,0
"107796",0,1,2,1,3,3,-0.12,5,276,5,"second","3","2",0,1,0,0,0
"107797",1,1,2,1,2,3,-0.28,7,276,5,"second","3","2",0,1,0,0,0
"107807",0,0,1,1,2,3,-0.12,2,276,5,"first","3","2",0,1,0,0,0
"107814",1,1,2,2,4,2,-0.2,3,276,3,"fourth","4","2",0,1,0,0,0
"107830",0,1,2,1,3,2,-0.04,3,276,5,"fourth","4","2",0,1,0,0,0
"107833",0,1,2,3,3,3,-0.12,1,276,5,"fourth","3","2",0,1,0,0,0
"107834",1,1,2,1,3,3,-0.12,0,276,5,"fourth","3","2",0,1,0,0,0
"107835",1,1,3,2,3,3,-0.2,4,276,5,"fourth","3","2",0,1,0,0,0
"107839",0,1,3,1,3,3,-0.12,0,276,5,"fourth","3","2",0,1,0,0,0
"107862",1,0,1,1,1,1,-0.04,0,276,1,"second","4","2",0,1,0,0,0
"107887",1,0,1,2,1,2,-0.2,3,276,2,"second","3","2",0,1,0,0,0
"107891",0,1,2,1,4,1,0.04,3,276,3,"fourth","4","2",0,1,0,0,0
"107927",0,1,2,3,1,2,-0.04,2,276,4,"fourth","3","2",0,1,0,0,0
"107929",0,1,3,3,2,4,-0.04,5,276,5,"third","3","2",0,1,0,0,0
"107953",1,1,2,4,3,3,-0.28,6,276,5,"fourth","1","1",0,1,0,0,0
"107954",0,1,2,4,3,5,-0.04,3,276,5,"fourth","1","1",0,1,0,0,0
"107981",0,1,2,2,3,3,0.04,2,276,5,"fourth","4","2",0,1,0,0,0
"107985",1,1,2,1,2,2,-0.12,3,276,5,"fourth","4","2",0,1,0,0,0
"107992",0,1,2,2,2,2,0.04,2,276,5,"fourth","3","2",0,1,0,0,0
"108000",1,1,2,1,3,2,0.04,2,276,4,"fourth","3","2",0,1,0,0,0
"108010",1,0,2,1,3,2,-0.36,1,276,5,"fourth","4","2",0,1,0,0,0
"108011",1,1,2,3,3,2,-0.04,3,276,5,"fourth","4","2",0,1,0,0,0
"108012",1,0,1,2,3,3,-0.04,12,276,1,"first","3","2",0,1,0,0,0
"108029",1,1,2,1,3,3,-0.12,1,276,5,"third","4","2",0,1,0,0,0
"108030",0,1,2,1,3,2,-0.12,2,276,5,"third","4","2",0,1,0,0,0
"108037",0,1,2,3,1,1,0.04,6,276,5,"second","2","1",0,1,0,0,0
"108039",1,1,2,2,3,2,-0.36,2,276,5,"second","2","1",0,1,0,0,0
"108043",0,0,2,3,2,2,-0.04,6,276,5,"fourth","4","2",0,1,0,0,0
"108047",0,0,1,2,2,2,-0.2,1,276,4,"third","4","2",0,1,0,0,0
"108081",1,1,2,2,3,2,0.04,8,276,5,"third","4","2",0,1,0,0,0
"108083",0,1,2,2,3,4,0.04,4,276,5,"third","4","2",0,1,0,0,0
"108087",0,1,2,1,3,4,-0.12,6,276,5,"first","3","2",0,1,0,0,0
"108092",0,0,2,2,2,3,-0.04,2,276,4,"fourth","4","2",0,1,0,0,0
"108096",1,0,2,4,2,2,0.04,1,276,4,"fourth","4","2",0,1,0,0,0
"108115",1,1,2,1,1,1,-0.28,1,276,1,"fourth","3","2",0,1,0,0,0
"108119",0,1,2,2,3,3,-0.12,1,276,1,"fourth","3","2",0,1,0,0,0
"108144",0,1,2,1,2,2,-0.04,2,276,1,"fourth","4","2",0,1,0,0,0
"108156",1,1,3,1,3,2,-0.2,2,276,4,"second","2","1",0,1,0,0,0
"108160",0,1,3,2,3,3,-0.12,5,276,4,"second","2","1",0,1,0,0,0
"108207",1,1,2,2,2,2,-0.04,3,276,4,"fourth","4","2",0,1,0,0,0
"108208",0,1,2,3,3,3,0.44,0,276,4,"fourth","4","2",0,1,0,0,0
"108228",1,1,2,1,2,2,-0.36,1,276,4,"third","3","2",0,1,0,0,0
"108234",0,0,1,5,3,3,0.6,0,276,1,"third","4","2",0,1,0,0,0
"108254",0,1,2,1,2,2,0.04,0,276,1,"third","3","2",0,1,0,0,0
"108264",0,1,2,4,3,3,0.36,1,276,4,"third","3","2",0,1,0,0,0
"108268",1,1,2,4,3,2,0.28,3,276,4,"third","3","2",0,1,0,0,0
"108272",1,1,2,1,2,2,-0.36,1,276,4,"fourth","4","2",0,1,0,0,0
"108276",0,1,2,2,3,3,-0.12,1,276,4,"fourth","4","2",0,1,0,0,0
"108287",0,1,2,3,4,1,0.2,4,276,5,"second","2","1",0,1,0,0,0
"108379",0,1,2,1,3,4,-0.04,0,276,5,"third","4","2",0,1,0,0,0
"108380",1,1,2,2,3,3,-0.04,0,276,5,"third","4","2",0,1,0,0,0
